"POS_ID	POS_VEH_ID	POS_EVE_ID	POS_LATITUD	POS_LONGITUD	POS_ALTITUD	POS_FECHAHORA	POS_FECHAHORASAT	POS_SAT	POS_SATTOT	POS_VELOCIDAD	POS_CALIDAD	POS_RUMBO	POS_DIR_ID"
"53114470	41	33	41,47213	2,09204	0	2015-04-16 14:46:34.000	2015-04-16 12:46:34.000	0	0	10	0	260	NULL"
"53114469	57	33	41,47928	2,094967	0	2015-04-16 14:46:07.000	2015-04-16 12:46:07.000	0	0	2	1	150	NULL"
"53114468	57	33	41,47937	2,094846	0	2015-04-16 14:45:37.000	2015-04-16 12:45:37.000	0	0	2	1	151	NULL"
"53114467	41	33	41,47213	2,09217	0	2015-04-16 14:46:29.000	2015-04-16 12:46:29.000	0	0	10	0	303	NULL"
"53114466	77	33	41,5048	2,12241	0	2015-04-16 14:46:27.000	2015-04-16 12:46:27.000	0	0	103	0	263	NULL"
"53114465	68	33	41,47957	2,09513	0	2015-04-16 14:46:27.000	2015-04-16 12:46:27.000	0	0	11	0	315	NULL"
"53114464	29	33	41,46879	2,07619	0	2015-04-16 14:46:24.000	2015-04-16 12:46:24.000	0	0	18	0	34	NULL"
"53114463	68	33	41,47956	2,09523	0	2015-04-16 14:46:24.000	2015-04-16 12:46:24.000	0	0	6	0	232	NULL"
"53114462	71	33	41,47969	2,09539	0	2015-04-16 14:46:22.000	2015-04-16 12:46:22.000	0	0	0	0	96	NULL"
"53114461	39	33	41,47936	2,09492	0	2015-04-16 14:46:21.000	2015-04-16 12:46:21.000	0	0	0	0	49	NULL"
"53114460	35	33	41,47939	2,09514	0	2015-04-16 14:46:19.000	2015-04-16 12:46:19.000	0	0	0	0	63	NULL"
"53114459	69	33	41,47934	2,09488	0	2015-04-16 14:46:19.000	2015-04-16 12:46:19.000	0	0	0	0	346	NULL"
"53114458	82	35	41,47979	2,09563	0	2015-04-16 14:46:18.000	2015-04-16 12:46:18.000	0	0	0	0	342	NULL"
"53114457	37	33	41,47952	2,09518	0	2015-04-16 14:46:17.000	2015-04-16 12:46:17.000	0	0	0	0	343	NULL"
"53114456	42	33	41,47945	2,09513	0	2015-04-16 14:46:16.000	2015-04-16 12:46:16.000	0	0	0	0	337	NULL"
"53114455	41	33	41,47188	2,09252	0	2015-04-16 14:46:14.000	2015-04-16 12:46:14.000	0	0	10	0	42	NULL"
"53114454	41	33	41,47187	2,0925	0	2015-04-16 14:46:13.000	2015-04-16 12:46:13.000	0	0	10	0	67	NULL"
"53114453	77	33	41,50554	2,12852	0	2015-04-16 14:46:07.000	2015-04-16 12:46:07.000	0	0	74	0	261	NULL"
"53114452	77	33	41,50594	2,13151	0	2015-04-16 14:45:52.000	2015-04-16 12:45:52.000	0	0	47	0	232	NULL"
"53114451	77	33	41,5064	2,13191	0	2015-04-16 14:45:47.000	2015-04-16 12:45:47.000	0	0	42	0	188	NULL"
"53114450	77	33	41,5067	2,13188	0	2015-04-16 14:45:44.000	2015-04-16 12:45:44.000	0	0	39	0	163	NULL"
"53114449	65	35	41,47924	2,09484	0	2015-04-16 14:46:04.000	2015-04-16 12:46:04.000	0	0	0	0	210	NULL"
"53114448	68	33	41,47944	2,09528	0	2015-04-16 14:46:08.000	2015-04-16 12:46:08.000	0	0	0	0	76	NULL"
"53114447	65	33	41,47924	2,09484	0	2015-04-16 14:46:04.000	2015-04-16 12:46:04.000	0	0	0	0	210	NULL"
"53114446	49	33	41,47964	2,095069	0	2015-04-16 14:45:44.000	2015-04-16 12:45:44.000	0	0	0	1	0	NULL"
"53114445	49	33	41,47963	2,095067	0	2015-04-16 14:45:14.000	2015-04-16 12:45:14.000	0	0	0	1	0	NULL"
"53114444	29	33	41,46807	2,0756	0	2015-04-16 14:46:04.000	2015-04-16 12:46:04.000	0	0	11	0	29	NULL"
"53114443	82	33	41,47979	2,09563	0	2015-04-16 14:46:02.000	2015-04-16 12:46:02.000	0	0	0	0	342	NULL"
"53114442	71	33	41,47969	2,09539	0	2015-04-16 14:46:01.000	2015-04-16 12:46:01.000	0	0	0	0	96	NULL"
"53114441	68	53	41,47944	2,09528	0	2015-04-16 14:46:01.000	2015-04-16 12:46:01.000	0	0	0	0	76	NULL"
"53114440	39	33	41,47936	2,09492	0	2015-04-16 14:46:01.000	2015-04-16 12:46:01.000	0	0	0	0	49	NULL"
"53114439	69	33	41,47934	2,09488	0	2015-04-16 14:45:59.000	2015-04-16 12:45:59.000	0	0	0	0	346	NULL"
"53114438	35	33	41,47939	2,09514	0	2015-04-16 14:45:58.000	2015-04-16 12:45:58.000	0	0	0	0	63	NULL"
"53114437	37	33	41,47952	2,09518	0	2015-04-16 14:45:57.000	2015-04-16 12:45:57.000	0	0	0	0	343	NULL"
"53114436	42	33	41,47945	2,09513	0	2015-04-16 14:45:56.000	2015-04-16 12:45:56.000	0	0	0	0	337	NULL"
"53114435	41	33	41,47179	2,09145	0	2015-04-16 14:45:53.000	2015-04-16 12:45:53.000	0	0	16	0	85	NULL"
"53114434	50	33	41,47968	2,095252	0	2015-04-16 14:45:38.000	2015-04-16 12:45:38.000	0	0	0	1	0	NULL"
"53114433	50	33	41,47968	2,095253	0	2015-04-16 14:45:08.000	2015-04-16 12:45:08.000	0	0	0	1	0	NULL"
"53114432	50	33	41,47967	2,095252	0	2015-04-16 14:44:38.000	2015-04-16 12:44:38.000	0	0	0	1	0	NULL"
"53114431	50	33	41,47963	2,095351	0	2015-04-16 14:44:08.000	2015-04-16 12:44:08.000	0	0	3	1	102	NULL"
"53114430	50	33	41,47973	2,095473	0	2015-04-16 14:43:38.000	2015-04-16 12:43:38.000	0	0	0	1	66	NULL"
"53114429	50	33	41,47961	2,095277	0	2015-04-16 14:43:08.000	2015-04-16 12:43:08.000	0	0	1	1	51	NULL"
"53114428	50	33	41,47956	2,094942	0	2015-04-16 14:37:25.000	2015-04-16 12:37:25.000	0	0	0	1	0	NULL"
"53114427	50	33	41,47944	2,094915	0	2015-04-16 14:36:55.000	2015-04-16 12:36:55.000	0	0	0	1	0	NULL"
